 a few seconds| nokkrar sekúndur
Optimized anaglyph (red/cyan)|Bestuð þrívíddarmynd (rauður/blágrænn)
Other (assistant)|Annað (aðstoðarmaður)
Page|Síða
Pages: %d, images: %d|Síður: %d, myndir: %d
Panel Name|Heiti glugga
Parsing skins catalog failed!|Ekki tókst að þátta útlitsskrá!
Partly cloudy|Skýjað með köflum
Partly cloudy, rain|Skýjað með köflum, skúrir
Partly cloudy, snow|Skýjað með köflum, snjókoma
Partly cloudy, thunder|Skýjað með köflum, þrumuveður
People|Fólk
Performance Warning|Viðvörun vegna neikvæðra áhrifa
Performance Warning dialog|Svargluggi viðvörunar vegna neikvæðra áhrifa
Personal|Persónulegt
Phone|Sími
Photo folder for gallery widgets|Myndamappa fyrir gallerísgræjur
Picture Gallery|Myndagallerí
Picture of the Day|Mynd dagsins
Picture Panel Settings|Stillingar myndaglugga
Pictures|Myndir
Pictures Of The Day|Myndir dagsins
Pictures Panel|Myndagluggi
Pictures Panel Settings|Stillingar myndaglugga
Pictures Settings|Myndastillingar
Pisces|Fiskar
Please Log In|Skráðu þig inn
Please wait...|Augnablik...
Portrait|Skammsnið
Pressure:|Þrýstingur:
Problem loading widget|Vandamál við að hlaða græju
Productivity|Framleiðni
Program|Forrit
Pulkovo|Pulkovo
Purchase|Kaup
Purple|Fjólublár
Radio off|Slökkt á útvarpi
rd_loc|.
Reading appointments...|Les erindi...
Recycle Bin|Ruslakarfa
Red|Rauður
Reduced|Smækkað
Reload skin list|Endurhlaða útlitslista
Remove All|Fjarlægja allt
Rename|Endurnefna
Rename Panel|Endurnefna glugga
Requesting images|Biður um myndir
Retry|Reyna aftur
Rise: %s|Upprás: %s
RSS Feed|RSS-straumur
RSS Panel|RSS-gluggi
RSS Panel Settings|Stillingar RSS-glugga
S|S
Safe mode|Öryggisstilling
Sagittarius|Bogmaður
Saint-Petersburg|Sankti Pétursborg
Save as New|Vista sem nýtt
Save to Existing|Vista í Eldra
Scorpio|Sporðdreki
Screen orientation|Skjásnið
SE|SA
Searching|Leitar
Select Channel|Velja rás
Select cities|Velja borgir
Select e-mail address|Veldu netfang
Select phone number:|Veldu símanúmer:
Select shortcut|Velja flýtileið
Select Skin|Velja útlit
Select wallpaper from|Velja veggfóður úr
Selected cities|Valdar borgir
Selected City|Valin borg
Selected city|Valin borg
Send E-mail|Senda tölvupóst
Send E-Mail|Senda tölvupóst
Send Message|Senda skilaboð
Send MMS|Senda MMS
Send SMS|Senda SMS
September|September
Serial number:|Raðnúmer:
Set as Home|Nota sem heimaskjá
Set as Wallpaper|Nota sem veggfóður
Set wallpaper|Velja veggfóður
Set: %s|Lag: %s
Settings|Stillingar
Show all|Sýna allt
Show all day events|Sýna heilsdagsviðburði
Show all day events in calendar widgets|Sýna heilsdagsviðburði í dagbókargræjum
Show full news|Sýna allar fréttir
Show images in news|Sýna myndir í fréttum
Silent|Hljóðlaust
Skin loading|Verið er að hlaða útliti
Small|Lítill
Smartphone|Snjallsími
Smog|Loftmengun
Social|Tengslanet
Sound Profile|Hljóðsnið
south|suður
south east|suðaustur
south west|suðvestur
SPB Shell 3D is loading...|SPB Shell 3D er að hlaðast...
SPB Wallpapers|SPB veggfóður
SPB Widget|SPB-græja
st|.
Standard Edition [Beta]|Standard Edition [Beta]
Stereoscopic 3D mode|Þrívíddarstilling
Stereoscopic 3D mode will be disabled|Rúmsjávarþrívídd verður afvirkjuð
Stereoscopic 3D Settings|Þrívíddarstillingar
Sun in %s,|Sól í %s,
Sunday|Sunnudagur
SW|SV
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Það getur tekið allt að mínútu að skipta milli viðmótsstillinga. Skjásniði verður breytt í '%s'.
System|Kerfi
Tablet|Spjaldtölva
Taurus|Naut
Temperatur scale|Hitastigskvarði
Temperature scale|Hitastigskvarði
Test Battery|Prófa rafhlöðu
th|.
Thank you for your support. Your copy is now registered.|Þakka þér fyrir. Eintakið þitt hefur verið skráð.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|Eftirfarandi eiginleikar eru á tilraunastigi og eru ekki tilbúnir til að fylgja með kjarna SPB Shell 3D. Þeir kunna að innihalda alvarlega galla og geta gert kerfið óstöðugt. Notkun þeirra er á eigin ábyrgð.
The maximum number of panels is reached|Hámarksfjölda glugga er náð
The name cannot be changed.|Ekki er hægt að breyta heitinu.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Ekki tókst að ræsa SPB Shell 3D síðast þegar það var reynt. Ýttu á "Reyna aftur" til að ræsa það aftur eða á "Heim" til að velja annan heimaskjá.
Time|Tími
Time Panel|Tímagluggi
Time Panel Settings|Stillingar tímaglugga
Today|Í dag
Toggle|Skipta milli
Tomorrow|Á morgun
Tools|Verkfæri
Travel|Ferðalög
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Því miður fundum við ekki það sem þú keyptir á Android Market. Fjarlægðu þetta eintak áður en þú setur nýtt upp.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Því miður fundum við ekki það sem þú keyptir. Fjarlægðu þetta eintak áður en þú setur nýtt upp.
Uninstall|Fjarlægja
Uninstall apps|Fjarlægja forrit
Unknown|Óþekkt
Unknown location|Óþekkt staðsetning
Upcoming events|Viðburðir á döfinni
Update|Uppfæra
Update deals list automatically|Uppfæra tilboðalista sjálfkrafa
Update Now|Uppfæra núna
Update pictures page automatically|Uppfæra myndasíðu sjálfkrafa
Update weather forecasts automatically|Uppfæra veðurspár sjálfkrafa
Updated|Uppfært
Updated:|Uppfært:
Updating image|Uppfærir mynd
Updating...|Uppfærir...
Use 3D in application list|Nota þrívídd í forritalista
Use 3D in edit mode|Nota þrívídd í breytingastillingu
Use cellular connection for updating deals list|Nota farsímatengingu til að uppfæra tilboðalista
Use cellular connection for updating deals list automatically|Notaðu GSM-tenginu til að uppfæra listann sjálfkrafa
Use cellular connection for updating pictures automatically|Nota farsímatengingu til að uppfæra myndir sjálfkrafa
Use cellular connection for updating weather automatically|Notaðu GSM-tengingu til að uppfæra verður sjálfkrafa
Use new color every time|Nota nýjan lit í hvert sinn
Use previous note's color|Nota fyrri lit athugasemda
Value|Verðmæti
variable|breytileg
Version %s, Build %s|Útgáfa %s, smíð %s
Vibro|Titringur
Video Call|Myndsímtal
View Duplicates|Sýna tvítekningar
View SIM Contacts|Skoða tengiliði á SIM-korti
Virgo|Meyja
W|V
Wallpaper|Veggfóður
Wallpapers|Veggfóður
Waning Crescent|Minnkandi mánasigð
Waning Gibbous|Minnkandi gleitt tungl
Waxing Crescent|Vaxandi mánasigð
Waxing Gibbous|Vaxandi gleitt tungl
Weather|Veður
Weather and Clock|Veður og klukka
Weather Forecast|Veðurspá
Weather Settings|Veðurstillingar
Welcome to notes panel|Velkominn í stjórnborð athugasemda
west|vestur
Widget is too big to be added.|Græjan er of stór og er því ekki hægt að bæta henni við.
Widgets|Græjur
Widgets Settings|Græjustillingar
Wind direction:|Vindátt:
Wind speed scale|Vindhraðakvarði
Wind speed:|Vindhraði:
Wind:|Vindur:
Work|Vinna
World Time|Heimstími
Wrong serial number. Please check it again.|Rangt raðnúmer. Athugaðu það aftur.
Yandex.Search|Yandex.Search
Yellow|Gulur
Yes|Já
Yesterday|Í gær
You save|Þú sparar
Your video system isn't compatible with Shell 3D.|Myndkerfið er ekki samhæft við Shell 3D.
