 a few seconds| mõni sekund
New Channel|Uus kanal
New channel|Uus kanal
New Contact|Uus kontakt
New Folder|Uus kaust
New Moon|Noorkuu
News|Uudised
News Panel|Uudised
News Panel Settings|Uudiste seadistused
next|järgmine
Next Alarm|Järgmine alarm
Night|Öö
No|Nr
no|pole
No Alarms|Alarme pole
No birthdays|Sünnipäevi pole
No calls|Kõnesid pole
No Cities|Linnu pole
No conditions|Tingimusteta
No Contacts.|Kontakte pole.
No Countries|Riike pole
No deals loaded|Kokkuleppeid pole laaditud
No Images|Kujutisi pole
No messages|Sõnumeid pole
No news|Uudiseid pole
No rise/set info|Tõusu/loojangu infot pole
No RSS feed found at|RSS-toidet ei leitud
No rss loaded|RSSi pole laaditud
No SIM|SIM puudub
No text messages|Tekstsõnumeid pole
No title|Pealkirjata
No upcoming events|Tulevasi sündmusi pole
No upcoming events in a week|Sel nädalal sündmusi pole
No updates|Uuendusi pole
No weather forecast|Ilmateade puudub
Normal|Normaalne
north|põhi
north east|kirre
north west|loe
Not available|Ei ole saadaval
Not connected|Ühendamata
Notes|Märked
Note's default color|Märkuse vaikevärv
Note's font|Märkuse kirjatüüp
Notes Panel|Märked
Notes Panel Settings|Märgete seadistused
November|November
NW|NW
October|Oktoober
Off|Väljas
Offer|Pakkumine
On|Sees
One Touch Share|One Touch Share
Only on free connections|Vaid tasuta ühendustel
Open Contact|Ava kontaktid
Open in Browser|Ava brauser
OpenGL 2.0 is required to run SPB Shell 3D|OpenGL 2.0 on vajalik, et käivitada SPB Shell 3D
Optimized anaglyph (red/cyan)|Optimeeritud anaglüüf (punane/tsüaan)
Other (assistant)|Muu (assistent)
Page|Lehekülg
Pages: %d, images: %d|Lehekülgi: %d, pilte: %d
Panel Name|Paneeli nimi
Parsing skins catalog failed!|Kestakataloogi sõelumine ebaõnnestus!
Partly cloudy|Osaliselt pilvine
Partly cloudy, rain|Osaliselt pilvine, vihm
Partly cloudy, snow|Osaliselt pilvine, lumi
Partly cloudy, thunder|Osaliselt pilvine, äike
People|Inimesed
Performance Warning|Tööalane hoiatus
Performance Warning dialog|Tööalase hoiatuse dialoog
Personal|Isiklik
Phone|Telefon
Photo folder for gallery widgets|Fotode kaust galeriividina jaoks
Picture Gallery|Pildigalerii
Picture of the Day|Päeva pilt
Picture Panel Settings|Pildi seadistused
Pictures|Pildid
Pictures Of The Day|Päeva pildid
Pictures Panel|Pildid
Pictures Panel Settings|Piltide seadistused
Pictures Settings|Piltide seadistused
Pisces|Kalad
Please Log In|Palun logi sisse
Please wait...|Palun oota...
Portrait|Portree
Pressure:|Rõhk:
Problem loading widget|Probleem vidina laadimisega
Productivity|Produktiivsus
Program|Programm
Pulkovo|Pulkovo
Purchase|Osta
Purple|Lilla
Radio off|Raadio väljas
rd_loc|.
Reading appointments...|Loeb kohtumisi...
Recycle Bin|Prügikast
Red|Punane
Reduced|Vähendatud
Reload skin list|Laadi kestade nimekiri uuesti
Remove All|Eemalda kõik
Rename|Nimeta ümber
Rename Panel|Nimeta paneel ümber
Requesting images|Esitab kujutisele päringu
Retry|Proovi uuesti
Rise: %s|Tõusmine: %s
RSS Feed|RSS-toide
RSS Panel|RSS
RSS Panel Settings|RSS-i seadistused
S|S
Safe mode|Ohutu režiim
Sagittarius|Ambur
Saint-Petersburg|Peterburi
Save as New|Salvesta uuena
Save to Existing|Salvesta olemasolevasse
Scorpio|Skorpion
Screen orientation|Ekraani paigutus
SE|SE
Searching|Otsib
Select Channel|Vali kanal
Select cities|Vali linnad
Select e-mail address|Vali meiliaadress
Select phone number:|Vali telefoninumber:
Select shortcut|Vali kiirnupp
Select Skin|Vali kest
Select wallpaper from|Vali taustapilt
Selected cities|Valitud linnad
Selected City|Valitud linn
Selected city|Valitud linn
Send E-mail|Saada e-mail
Send E-Mail|Saada e-mail
Send Message|Saada sõnum
Send MMS|Saada MMS
Send SMS|Saada SMS
September|September
Serial number:|Seerianumber:
Set as Home|Määra koduks
Set as Wallpaper|Määra taustapildiks
Set wallpaper|Määra taustapilt
Set: %s|Loojumine: %s
Settings|Seadistused
Show all|Näita kõiki
Show all day events|Näita kõiki päeva sündmusi
Show all day events in calendar widgets|Näita kõiki päevasündmusi kalendris
Show full news|Näita täisuudiseid
Show images in news|Näita uudiste kujutisi
Silent|Vaikne
Skin loading|Kest laadib
Small|Väike
Smartphone|Nutitelefon
Smog|Sudu
Social|Sotsiaalne
Sound Profile|Heliprofiil
south|lõuna
south east|kagu
south west|edel
SPB Shell 3D is loading...|SPB Shell 3D laadib..
SPB Wallpapers|SPB taustapildid
SPB Widget|SPB-vidin
st|.
Standard Edition [Beta]|Standardväljaanne [Beta]
Stereoscopic 3D mode|Stereoskoopiline 3D-režiim
Stereoscopic 3D mode will be disabled|Stereoskoopne 3D-režiim desaktiveeritakse
Stereoscopic 3D Settings|Stereoskoopilised 3D seadistused
Sun in %s,|Päike %s,
Sunday|Pühapäev
SW|SW
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Kasutajaliidese režiimi lülitamine võib kesta mõned minutid. Ekraani paigutus muutub '%s'.
System|Süsteem
Tablet|Tahvel
Taurus|Sõnn
Temperatur scale|Temperatuuriskaala
Temperature scale|Temperatuuriskaala
Test Battery|Kontrolli akut
th|.
Thank you for your support. Your copy is now registered.|Suur tänu toe eest. Teie koopia on nüüd registreeritud.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|Allpool toodud eksperimentaalsed funktsioonid pole SPB Shell 3D tuumas saatmiseks valmis. Need võivad põhjustada raskeid häireid ja muuta süsteemi ebastabiilseks. Kasutage neid omal riskil.
The maximum number of panels is reached|Saavutasite maksimaalse paneelide arvu
The name cannot be changed.|Nime ei saa muuta
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Eelnev SPB Shell 3D käivitamine ebaõnnestus. Palun koputage nupule "Proovi uuesti", et käivitada uuesti, või nupule "Kodu", et aktiveerida muu koduekraan.
Time|Kellaaeg
Time Panel|Kellaaeg
Time Panel Settings|Kellaaja seadistused
Today|Täna
Toggle|Tumbler
Tomorrow|Homme
Tools|Tööriistad
Travel|Reisid
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Kahjuks ei õnnestunud meil teie ostu Android Marketist tuvastada. Palun eemaldage see koopia enne uue installeerimist.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Kahjuks ei õnnestunud meil teie ostu tuvastada. Palun eemaldage see koopia enne uue installeerimist.
Uninstall|Eemalda
Uninstall apps|Eemalda rakendused
Unknown|Tundmatu
Unknown location|Teadmata asukoht
Upcoming events|Tulevased sündmused
Update|Uuenda
Update deals list automatically|Uuenda automaatselt kokkulepete nimekirja
Update Now|Uuenda nüüd
Update pictures page automatically|Uuenda piltide lehekülge automaatselt
Update weather forecasts automatically|Uuenda ilmateadet automaatselt
Updated|Uuendatud
Updated:|Uuendatud:
Updating image|Uuendab kujutist
Updating...|Uuendab...
Use 3D in application list|Kasuta 3D rakenduste nimekirjas
Use 3D in edit mode|Kasuta 3D-d muutmisrežiimis
Use cellular connection for updating deals list|Kasuta mobiilühendust kokkulepete nimekirja automaatseks uuenduseks
Use cellular connection for updating deals list automatically|Kasuta tehinguloendite automaatseks uuendamiseks mobiiliühendust
Use cellular connection for updating pictures automatically|Kasuta mobiilühendust piltide automaatseks uuenduseks
Use cellular connection for updating weather automatically|Kasuta ilma automaatseks uuendamiseks mobiiliühendust
Use new color every time|Kasuta iga kord uut värvi
Use previous note's color|Kasuta eelmist märkuse värvi
Value|Väärtus
variable|muutuja
Version %s, Build %s|Versioon %s, loodud %s
Vibro|Vibreeriv
Video Call|Videokõne
View Duplicates|Vaata topelt
View SIM Contacts|Vaata SIM-kaardi kontakte
Virgo|Neitsi
W|W
Wallpaper|Taustapilt
Wallpapers|Taustapildid
Waning Crescent|Kahanev kuu
Waning Gibbous|Poolkuu
Waxing Crescent|Kasvav kuu
Waxing Gibbous|Poolkuu
Weather|Ilm
Weather and Clock|Ilm ja kellaaeg
Weather Forecast|Ilmateade
Weather Settings|Ilma seadistused
Welcome to notes panel|Tere tulemast märkuste paneeli
west|lääs
Widget is too big to be added.|Vidin on lisamiseks liiga suur.
Widgets|Vidinad
Widgets Settings|Vidinate seadistused
Wind direction:|Tuule suund:
Wind speed scale|Tuulekiiruse skaala
Wind speed:|Tuule kiirus:
Wind:|Tuul:
Work|Töö
World Time|Maailma kell
Wrong serial number. Please check it again.|Vale seerianumber. Palun kontrollige uuesti.
Yandex.Search|Yandex.Search
Yellow|Kollane
Yes|Jah
Yesterday|Eile
You save|Salvesta
Your video system isn't compatible with Shell 3D.|Teie videosüsteem ei ühildu Shell 3D-süsteemiga.
