 a few seconds| alguns segundos
Loading RSS feed %s...|Carregando RSS feed %s...
Loading skin failed!|Falha ao baixar o tema!
Loading skins catalog failed!|Falha ao baixar o catálogo de temas
Loading...|Carregando...
Logging In...|Fazendo login...
Lunar Calendar|Calendário Lunar
Lunar day %d|Dia lunar %d
Manage apps|Gerenciar aplicativos
Manage Apps|Gerenciar Aplicativos
Manage panels|Gerenciar painéis
Manage Panels|Gerenciar Painéis
March|Março
May|Maio
Medium|Médio
Messaging|Mensagens
Meters per second|Metros por segundo
Miles per hour|Milhas por hora
Millimetres|Milímetros
Misc|Vários
Miscellaneous|Diversos
mm|mm
Mobile|Celular
Mode|Modo
Monday|Segunda
Moon|Lua
Moon Calendar|Calendário Lunar
Moon in %s,|Lua em %s,
Morning|Manhã
mph|mph
mps|mps
Multimedia|Multimídia
Music|Música
Music albums|Álbuns de música
N|N
N/A|N/A
nd|nd
NE|NE
Network Status|Status da Rede
Never|Nunca
New|Novo
New Channel|Novo Canal
New channel|Novo Canal
New Contact|Novo Contato
New Folder|Nova Pasta
New Moon|Lua Nova
News|Notícias
News Panel|Painel de Notícias
News Panel Settings|Configurações do Painel de Notícias
next|próximo
Next Alarm|Próx. alarme
Night|Noite
No|Não
no|não
No Alarms|Nenhum Alarme
No birthdays|Não há aniversários
No calls|Nenhuma chamada
No Cities|Nenhuma Cidade
No conditions|Não há previsões
No Contacts.|Nenhum Contato.
No Countries|Nenhum país
No deals loaded|Nenhuma promoção carregada
No Images|Nenhuma imagem
No messages|Não há mensagens
No news|Não há notícias
No rise/set info|Sem informações sobre o nascer ou pôr do sol
No RSS feed found at|Não foi encontrado RSS feed em
No rss loaded|Nenhum RSS carregado
No SIM|SIM não encontrado
No text messages|Não há mensagens de texto
No title|Sem título
No upcoming events|Nenhum evento programado
No upcoming events in a week|Nenhum evento programado em uma semana
No updates|Nenhuma atualização
No weather forecast|Sem previsão
Normal|Normal
north|norte
north east|nordeste
north west|noroeste
Not available|Indisponível
Not connected|Não conectado
Notes|Notas
Note's default color|Cor padrão das notas
Note's font|Fonte das notas
Notes Panel|Painel de Notas
Notes Panel Settings|Configuração do Painel de Notas
November|Novembro
NW|NO
October|Outubro
Off|Desligado
Offer|Oferta
On|Ligado
One Touch Share|One Touch Share
Only on free connections|Apenas em conexões gratuitas
Open Contact|Abrir Contato
Open in Browser|Abrir no Navegador
OpenGL 2.0 is required to run SPB Shell 3D|É necessário o OpenGl 2.0 para a execução do SPB Shell 3D
Optimized anaglyph (red/cyan)|Anáglifo otimizado (vermelho/ciano)
Other (assistant)|Outros (assistente)
Page|Página
Pages: %d, images: %d|Páginas: %d, imagens: %d
Panel Name|Nome do Painel
Panels|Paineis
Panels Settings|Configurações dos Paineis
Parsing skins catalog failed!|Falha na análise dos catálogos de temas
Partly cloudy|Parcialmente nublado
Partly cloudy, rain|Parcialmente nublado, chuva
Partly cloudy, snow|Parcialmente nublado, neve
Partly cloudy, thunder|Parcialmente nublado, trovoadas
People|Pessoas
Performance Warning|Aviso de Perfomance
Performance Warning dialog|Diálogo de Aviso de Performance
Personal|Pessoal
Phone|Telefone
Photo folder for gallery widgets|Pasta de foto para a galeria de widgets
Picture Gallery|Galeria de Imagens
Picture of the Day|Imagem do Dia
Picture Panel Settings|Configurações do Painel de Fotos
Pictures|Imagens
Pictures Of The Day|Imagens do Dia
Pictures Panel|Painel de Imagens
Pictures Panel Settings|Configurações do Painel de Fotos
Pictures Settings|Configuração de Imagens
Pisces|Peixes
Please Log In|Por favor, faça o login
Please wait...|Por favor, aguarde.
Portrait|Retrato
Pressure:|Pressão:
Problem loading widget|Problema ao carregar o widget
Productivity|Produtividade
Program|Programa
Pulkovo|Pulkovo
Purchase|Compra
Purple|Roxo
Quick Setting|Configuração Rápida
Radio off|Rádio desligado
rd_loc|°
Reading appointments...|Lendo compromissos...
Recycle Bin|Lixeira
Red|Vermelho
Reduced|Reduzido
Reload skin list|Atualizar lista de temas
Remove All|Remover Tudo
Rename|Renomear
Rename Panel|Renomear Painel
Requesting images|Solicitando imagens
Retry|Tentar novamente
Rise: %s|Nascer: %s
RSS Feed|RSS Feed
RSS Panel|Painel RSS
RSS Panel Settings|Painel de Configurações RSS
S|S
Safe mode|Modo de Segurança
Sagittarius|Sagitário
Saint-Petersburg|Saint-Petersburg
Save as New|Salvar como Novo
Save to Existing|Salvar em Existente
Scorpio|Escorpião
Screen orientation|Orientação da tela
Screen orientation will be changed to Landscape|Orientação da tela será alterada para Paisagem.
SE|SE
Searching|Procurando
Select Channel|Selecionar Canal
Select cities|Selecione as cidades
Select Contact Action|Selecionar uma Ação de Contato
Select Contact Size|Selecionar Tamanho do Contato
Select e-mail address|Selecionar endereço de e-mail
Select phone number:|Selecionar número de telefone
Select shortcut|Selecionar atalho
Select Skin|Selecionar tema
Select wallpaper from|Selecionar wallpaper do
Selected cities|Cidades selecionadas
Selected City|Cidade Selecionada
Selected city|Cidade selecionada
Send Email|Enviar email
Send E-mail|Enviar e-mail
Send E-Mail|Enviar e-mail
Send Message|Enviar Mensagem
Send MMS|Enviar MMS
Send SMS|Enviar SMS
September|Setembro
Serial number:|Número de série:
Set as Home|Definir como Home
Set as Wallpaper|Definir como tela de fundo
Set wallpaper|Definir wallpaper
Set: %s|Configuração: %s
Settings|Configurações
Show all|Mostrar tudo
Show all day events|Exibir os eventos do dia
Show all day events in calendar widgets|Exibir todos os eventos do dia em widgets de calendário
Show full news|Exibir notícias completas
Show images in news|Exibir imagens nas notícias
Silent|Silencioso
Skin loading|Carregando temas
Small|Pequeno
Smartphone|Smartphone
Smog|Poluição
Social|Social
Social Network|Rede Social
Sound Profile|Perfil de Sons
south|sul
south east|sudeste
south west|sudoeste
SPB Shell 3D is loading...|SPB Shell 3D está carregando...
SPB Wallpapers|SPB Wallpapers
SPB Widget|SPB Widget
st|°
Standard Edition [Beta]|Edição Padrão [Beta]
Stereoscopic 3D mode|Modo 3D Estereoscópico
Stereoscopic 3D mode will be disabled|O modo estereoscópico 3D será desabilitado
Stereoscopic 3D Settings|Config. do 3D Estereoscópico
Sun in %s,|Sol em %s
Sunday|Domingo
SW|SO
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|A alteração do modo interface pode levar até um minuto. A orientação da tela será mudada para '%s'.
System|Sistema
Tablet|Tablet
Tap here to download|Clique aqui para fazer download
Taurus|Touro
Temperatur scale|Escala de temperatura
Temperature scale|Escala de Temperatura
Test Battery|Testar a Bateria
th|°
Thank you for your support. Your copy is now registered.|Obrigado por seu apoio. Sua cópia está registrada.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|As funcionalidades experimentais abaixo não estão prontas para serem embarcadas no núcleo do SPB Shell 3D. Estas podem conter sérios defeitos e causar instabilidade no sistema. Utilize-as ao seu próprio risco.
The maximum number of panels is reached|A quantidade máxima de painéis foi atingida
The name cannot be changed.|O nome não pode ser alterado.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|A última execução do SPB Shell 3D não teve sucesso. Por favor, clique em "Tentar novamente" para voltar a executá-lo ou em "Home" para ativar uma outra Home screen.
Time|Horário
Time Panel|Painel de Hora
Time Panel Settings|Configuração do painel de horários
Today|Hoje
Toggle|Alternar
Tomorrow|Amanhã
Tools|Ferramentas
Travel|Viagem
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Infelizmente não conseguimos localizar sua compra no Android Market. Por favor, desinstale esta cópia antes de instalar uma nova.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Infelizmente não conseguimos localizar sua compra. Por favor, desinstale esta cópia antes de instalar uma nova.
Uninstall|Desinstalar
Uninstall apps|Desinstalar aplicatvos
Unknown|Desconhecido
Unknown location|Local desconhecido
Upcoming events|Eventos programados
Update|Atualizar
Update deals list automatically|Atualizar lista de ofertas automaticamente
Update Now|Atualizar agora
Update pictures page automatically|Atualizar página de fotos automaticamente
Update weather forecasts automatically|Atualizar previsões metereológicas automaticamente
Updated|Atualizado
Updated:|Atualizado
Updating image|Atualizando imagem
Updating...|Atualizando...
Use 3D in application list|Usar 3D na lista de aplicativo
Use 3D in edit mode|Usar 3D no modo de edição
Use cellular connection for updating deals list|Utilizar a conexão via celular para atualizar a lista de ofertas
Use cellular connection for updating deals list automatically|Usar a conexão do celular para atualizar a lista de ofertas automaticamente
Use cellular connection for updating pictures automatically|Utilizar conexão de celular para atualizar imagens automaticamente
Use cellular connection for updating weather automatically|Usar a conexão do celular para atualizar o clima automaticamente
Use new color every time|Usar uma nova cor a cada vez
Use previous note's color|Usar a cor da nota anterior
Value|Valor
variable|variável
Version %s, Build %s|Versão %s, Build %s
Vibro|Vibração
Video Call|Chamada de vídeo
View Duplicates|Mostrar Duplicados
View SIM Contacts|Mostrar Contatos do SIM
Virgo|Virgem
W|W
Wallpaper|Tela de fundo
Wallpapers|Wallpapers
Waning Crescent|Lua Minguante
Waning Gibbous|Lua Balsâmica
Waxing Crescent|Lua Crescente
Waxing Gibbous|Lua Gibosa
Weather|Tempo
Weather and Clock|Clima e Relógio
Weather Forecast|Previsão do tempo
Weather Panel Settings|Configurações do painel do tempo
Weather Settings|Configurações do Weather
Welcome to notes panel|Bem-vindo ao painel de notas
west|oeste
Widget is too big to be added.|Widget é grande demais para ser adicionado
Widgets|Widgets
Widgets Settings|Config. Widgets
Wind direction:|Direção do vento:
Wind speed scale|Escala de velocidade do vento
Wind speed:|Velocidade do Vento:
Wind:|Vento:
Work|Trabalho
World Time|Hora Mundial
Wrong serial number. Please check it again.|Número de série errado. Por favor, verifique novamente.
Yandex.Search|Yandex.Search
Yellow|Amarelo
Yes|Sim
Yesterday|Ontem
You save|Você economiza
Your video system isn't compatible with Shell 3D.|Seu sistema de vídeo não é compatível com o Shell 3D
