 a few seconds| няколко секунди
No conditions|Няма условия
No Contacts.|Няма контакти.
No Countries|Няма държави
No deals loaded|Няма заредени сделки
No Images|Няма изображения
No messages|Няма съобщения
No news|Няма новини
No rise/set info|Няма данни за издигане/залязване
No RSS feed found at|Няма открита RSS емисия на
No rss loaded|Няма заредена rss емисия
No SIM|Няма SIM карта
No text messages|Няма текстови съобщения
No title|Няма заглавие
No upcoming events|Няма предстоящи събития
No upcoming events in a week|Няма предстоящи събития за седмица
No updates|Няма актуализации
No weather forecast|Няма прогноза за времето
Normal|Нормален
north|север
north east|североизток
north west|северозапад
Not available|Няма налични
Not connected|Не е свързан
Notes|Бележки
Note's default color|Основен цвят на бележката
Note's font|Шрифт на бележката
Notes Panel|Панел Бележки
Notes Panel Settings|Настройки на панела Бележки
November|Ноември
NW|СЗ
October|Октомври
Off|Изкл.
Offer|Предложение
On|Активиран
One Touch Share|One Touch Share
Only on free connections|Само при безплатни връзки
Open Contact|Отвори контакт
Open in Browser|Отвори в браузър
OpenGL 2.0 is required to run SPB Shell 3D|Изисква се OpenGL 2.0 за управляване на SPB Shell 3D
Optimized anaglyph (red/cyan)|Оптимизиран анаглиф (червено/циан)
Other (assistant)|Друго (помощен)
Page|Страница
Pages: %d, images: %d|Страници: %d, изображения: %d
Panel Name|Име на панел
Parsing skins catalog failed!|Неуспешен анализ на каталога с кожи!
Partly cloudy|Отчасти облачно
Partly cloudy, rain|Отчасти облачно, дъжд
Partly cloudy, snow|Отчасти облачно, сняг
Partly cloudy, thunder|Отчасти облачно, гръмотевици
People|Хора
Performance Warning|Предупреждение за ефективност
Performance Warning dialog|Диалог Предупреждение за ефективност
Personal|Личен
Phone|Телефон
Photo folder for gallery widgets|Фото папка за притурки за галерията
Picture Gallery|Галерия от снимки
Picture of the Day|Снимка на деня
Picture Panel Settings|Настройки на панела за снимки
Pictures|Снимки
Pictures Of The Day|Снимки на деня
Pictures Panel|Панел за снимки
Pictures Panel Settings|Настройки на панела за снимки
Pictures Settings|Настройки на снимките
Pisces|Риби
Please Log In|Моля, запиши се
Please wait...|Моля, изчакай...
Portrait|Вертикална
Pressure:|Налягане:
Problem loading widget|Проблем със зареждането на притурката
Productivity|Продуктивност
Program|Програма
Pulkovo|Пулково
Purchase|Покупка
Purple|Лилаво
Radio off|Радиото е изкл.
rd_loc|-ти
Reading appointments...|Четене на уговорките...
Recycle Bin|Кошче
Red|Червено
Reduced|Намален
Reload skin list|Презареди списък с кожи
Remove All|Изтрий всички
Rename|Преименувай
Rename Panel|Преименувай панела
Requesting images|Искане за изображения
Retry|Опитай отново
Rise: %s|Издигане: %s
RSS Feed|RSS Емисия
RSS Panel|RSS панел
RSS Panel Settings|Настройки на RSS панела
S|Ю
Safe mode|Безопасен режим
Sagittarius|Стрелец
Saint-Petersburg|Санкт Петербург
Save as New|Запази като нов
Save to Existing|Запази като наличен
Scorpio|Скорпион
Screen orientation|Ориентация на екрана
SE|ЮИ
Searching|Търсене
Select Channel|Избери канал
Select cities|Избери градове
Select e-mail address|Избери имейл
Select phone number:|Избери тел.номер:
Select shortcut|Избери пряк път
Select Skin|Избери кожа
Select wallpaper from|Избери тапет от
Selected cities|Избрани градове
Selected City|Избран град
Selected city|Избран град
Send E-mail|Изпрати имейл
Send E-Mail|Изпрати имейл
Send Message|Изпрати съобщение
Send MMS|Изпрати MMS
Send SMS|Изпрати SMS
September|Септември
Serial number:|Сериен номер:
Set as Home|Задай като Начална страница
Set as Wallpaper|Задай като тапет
Set wallpaper|Задай тапет
Set: %s|Залязване: %s
Settings|Настройки
Show all|Покажи всички
Show all day events|Покажи всички събития през деня
Show all day events in calendar widgets|Покажи всички събития през деня в притурката за календара
Show full news|Показвай пълните новини
Show images in news|Показвай изображения в новини
Silent|Тих
Skin loading|Зареждане на кожа
Small|Малък
Smartphone|Смартфон
Smog|Мъгла
Social|Социални дейности
Sound Profile|Звуков профил
south|юг
south east|югоизток
south west|югоизток
SPB Shell 3D is loading...|SPB Shell 3D се зарежда...
SPB Wallpapers|Тапети SPB
SPB Widget|Притурка SPB
st|-ви
Standard Edition [Beta]|Стандартно издание [Бета]
Stereoscopic 3D mode|Стереоскопичен 3D режим
Stereoscopic 3D mode will be disabled|Стереоскопичният 3D режим ще бъде деактивиран
Stereoscopic 3D Settings|Настройки на стереоскопичен 3D режим
Sun in %s,|Слънце в %s
Sunday|Неделя
SW|ЮЗ
Switching the interface mode can take up to a minute. Screen orientation will be changed to '%s'.|Превключването на интерфейсния режим може да отнеме до минута. Ориентирането на екрана ще се промени на '%s'.
System|Система
Tablet|Таблет
Taurus|Телец
Temperatur scale|Температурна скала
Temperature scale|Температурна скала
Test Battery|Тест на батерията
th|-ти
Thank you for your support. Your copy is now registered.|Благодарим за вашата подкрепа. Вашето копие е вече регистрирано.
The experimental features below are not ready to be shipped in the core of SPB Shell 3D. They may contain severe defects and cause system instability. Use them at your own risk.|Експерименталните функции по-долу не са готови за изпращане в ядрото на SPB Shell 3D. В тях може да има сериозни дефекта и да причинят нестабилност на системата. Използвай ги на твой риск.
The maximum number of panels is reached|Достигнат е максимален брой панели
The name cannot be changed.|Името не може да бъде променено.
The previous launch of SPB Shell 3D was unsuccessful. Please tap "Retry" to launch it again or "Home" to activate a different Home screen.|Предишното стартиране на SPB Shell 3D бе неуспешно. Моля, чукни на "Опитай отново" за повторно стартиране или "Начална страница" за активиране на различен екран на Началната страница.
Time|Време
Time Panel|Панел Време
Time Panel Settings|Настройки на панела за времето
Today|Днес
Toggle|Превключи
Tomorrow|Утре
Tools|Инструменти
Travel|Пътуване
Unfortunately, we could not locate your purchase in Android Market. Please uninstall this copy before installing a new one.|Съжаляваме, но не можем да открием вашата покупка в Android Market. Моля, деинсталирай това копие, преди да инсталираш ново.
Unfortunately, we could not locate your purchase. Please uninstall this copy before installing a new one.|Съжаляваме, но не можем да открием вашата покупка. Моля, деинсталирай това копие, преди да инсталираш ново.
Uninstall|Деинсталирай
Uninstall apps|Деинсталирай прил.
Unknown|Неизвестно
Unknown location|Неизвестна локация
Upcoming events|Предстоящи събития
Update|Актуализирай
Update deals list automatically|Актуализирай автоматично списъка със сделки
Update Now|Актуализирай сега
Update pictures page automatically|Актуализирай автоматично страницата със снимки
Update weather forecasts automatically|Актуализирай автоматично прогнозата за времето
Updated|Актуализиран
Updated:|Актуализирани:
Updating image|Актуализиране на изображение
Updating...|Актуализиране...
Use 3D in application list|Използвай 3D в списъка с приложения
Use 3D in edit mode|Използвай 3D в режим Редактиране
Use cellular connection for updating deals list|Използвай връзката през телефона за автоматично актуализиране на списъка със сделките
Use cellular connection for updating deals list automatically|Използвай клетъчна връзка за автоматично актуализиране на списъка с темите
Use cellular connection for updating pictures automatically|Използвай връзката през телефона за автоматично актуализиране на снимките
Use cellular connection for updating weather automatically|Използвай клетъчна връзка за автоматично актуализиране на времето
Use new color every time|Използвай нов цвят всеки път
Use previous note's color|Използвай цвета на предишната бележка
Value|Стойност
variable|променливо
Version %s, Build %s|Версия %s, Вариант %s
Vibro|Вибрация
Video Call|Видео разговор
View Duplicates|Виж дубликати
View SIM Contacts|Виж контактите в SIM картата
Virgo|Дева
W|З
Wallpaper|Тапет
Wallpapers|Тапети
Waning Crescent|Намаляващ полумесец
Waning Gibbous|Наближаващо пълнолуние
Waxing Crescent|Нарастващ полумесец
Waxing Gibbous|Преминала пълнолуние
Weather|Време
Weather and Clock|Атмосферно време и часовник
Weather Forecast|Прогноза за времето
Weather Settings|Настройки за време
Welcome to notes panel|Добре дошли в панела на бележките
west|запад
Widget is too big to be added.|Притурката е прекалено голяма за добавяне.
Widgets|Притурки
Widgets Settings|Настройки на Притурките
Wind direction:|Посока на вятъра:
Wind speed scale|Скала Скорост на вятъра
Wind speed:|Скорост на вятъра:
Wind:|Вятър:
Work|Служебен
World Time|Времето по света
Wrong serial number. Please check it again.|Грешен сериен номер. Моля, провери го отново.
Yandex.Search|Yandex.Search
Yellow|Жълто
Yes|Да
Yesterday|Вчера
You save|Спестявай
Your video system isn't compatible with Shell 3D.|Вашата видео система не е съвместима с Shell 3D.
